acc,Entry_name,n_pass,n_eval,frac_pass,mean_rank,rank_sd,topology,n_transmem,Length
Q07065,CKAP4_HUMAN,10,10,1.0,0.8267576883316914,0.2383306438553404,single-pass,1,602.0
Q9BR39,JPH2_HUMAN,10,10,1.0,0.8719791189844064,0.2243501360213774,single-pass,1,696.0
Q5TF21,SOGA3_HUMAN,9,10,0.9,0.86269459592459,0.206841255230202,single-pass,1,947.0
Q9P2E9,RRBP1_HUMAN,9,10,0.9,0.7954991580996507,0.3311871111287743,single-pass,1,1410.0
Q14789,GOGB1_HUMAN,8,10,0.8,0.7822311057085711,0.2322644744214492,single-pass,1,3259.0
P00533,EGFR_HUMAN,8,10,0.8,0.7924827550878314,0.1951557463969295,single-pass,1,1210.0
A8CG34,P121C_HUMAN,8,10,0.8,0.8016037529896948,0.2996268918045396,single-pass,1,1229.0
Q86UP2,KTN1_HUMAN,8,10,0.8,0.6969670641143771,0.3037750835230726,single-pass,1,1357.0
Q86UE4,LYRIC_HUMAN,8,10,0.8,0.8154870710926221,0.3079185153648717,single-pass,1,582.0
P08575,PTPRC_HUMAN,8,10,0.8,0.7396652532666351,0.2085848389909494,single-pass,1,1306.0
Q5JRA6,TGO1_HUMAN,8,10,0.8,0.7985680879711315,0.2813493613258566,single-pass,1,1907.0
Q96HA1,P121A_HUMAN,8,10,0.8,0.7915589641362195,0.2920056608162314,single-pass,1,1249.0
Q96AG4,LRC59_HUMAN,8,10,0.8,0.6588274674985839,0.3146274149069569,single-pass,1,307.0
P60468,SC61B_HUMAN,7,9,0.7777777777777778,0.7124882083464229,0.2653550169203528,single-pass,1,96.0
P05067,A4_HUMAN,7,9,0.7777777777777778,0.6253286374592788,0.2816948690811271,single-pass,1,770.0
