UniProt_ID,approach,region,seg_idx,score
Q07065,whole_db,Whole,,0.8507573909
P17948,whole_db,Whole,,0.7882259247000001
P05067,whole_db,Whole,,0.769808888
Q9BR39,whole_db,Whole,,0.7654327439
P21802,whole_db,Whole,,0.7650979889
O75460,whole_db,Whole,,0.7630394757000001
P35968,whole_db,Whole,,0.7550936052
P00533,whole_db,Whole,,0.7243557948
Q9BRQ8,whole_db,Whole,,0.6706123549
P11362,whole_db,Whole,,0.6645710642
Q15303,whole_db,Whole,,0.6498495255
P05556,whole_db,Whole,,0.6429573146
Q14BN4,whole_db,Whole,,0.6384488869
P29317,whole_db,Whole,,0.6092959723
P15941,whole_db,Whole,,0.5785296345000001
O60733,whole_db,Whole,,0.5664662817
Q8WXG9,whole_db,Whole,,0.5305456419
P01857,whole_db,Whole,,0.5233330433
Q12879,whole_db,Whole,,0.5079130691
Q8TEM1,whole_db,Whole,,0.4330318644
O14763,whole_db,Whole,,0.4304014178
P08908,whole_db,Whole,,0.4170778534
P04626,whole_db,Whole,,0.392907963
P31431,whole_db,Whole,,0.388778526
O43561,whole_db,Whole,,0.3832165678
O75581,whole_db,Whole,,0.3626361058
Q9UM73,whole_db,Whole,,0.3597359203
Q7Z434,whole_db,Whole,,0.3417054212
Q14739,whole_db,Whole,,0.3307056098
P63027,whole_db,Whole,,0.3293824143
Q16635,whole_db,Whole,,0.3143809595
P20963,whole_db,Whole,,0.3123967122
P07949,whole_db,Whole,,0.2879960374
Q08345,whole_db,Whole,,0.2617370626
P13569,whole_db,Whole,,0.2546825181
O60500,whole_db,Whole,,0.2428889741
P15529,whole_db,Whole,,0.2376365743
Q8NC56,whole_db,Whole,,0.2363709607
P08172,whole_db,Whole,,0.2188307225
P08247,whole_db,Whole,,0.1996463957
P40967,whole_db,Whole,,0.196225374
P15954,whole_db,Whole,,0.1903205977
Q03135,whole_db,Whole,,0.1765001169
O75445,whole_db,Whole,,0.1711297
P07766,whole_db,Whole,,0.164514824
P46531,whole_db,Whole,,0.1535407927
Q9UJA2,whole_db,Whole,,0.1170661771
Q9Y624,whole_db,Whole,,0.1165015876
P10747,whole_db,Whole,,0.08681307
Q9H461,whole_db,Whole,,0.0801331697
P31645,whole_db,Whole,,0.0786668072
Q04671,whole_db,Whole,,0.0756650948
Q13021,whole_db,Whole,,0.0720814804
Q7Z3C6,whole_db,Whole,,0.069750691
P49146,whole_db,Whole,,0.0676945485
Q86WV6,whole_db,Whole,,0.0673172323
P61073,whole_db,Whole,,0.0584381525
Q9H3U5,whole_db,Whole,,0.0456853351
Q8N114,whole_db,Whole,,0.0353312183
O00254,whole_db,Whole,,0.033985114
P15941,whole,Whole,,0.5699725741531457
Q7Z434,whole,Whole,,0.29768083137882695
Q9BR39,whole,Whole,,0.6599645298868737
O43561,whole,Whole,,0.3170324141150475
P31431,whole,Whole,,0.3875136661357701
Q9UM73,whole,Whole,,0.2763619808985551
Q9H461,whole,Whole,,0.09754823766512645
O14763,whole,Whole,,0.426905113886431
P46531,whole,Whole,,0.19106817297674925
Q8N114,whole,Whole,,0.05200850443241932
Q07065,whole,Whole,,0.85754957898285
P08172,whole,Whole,,0.33468567764333
Q08345,whole,Whole,,0.2877465672711256
O60500,whole,Whole,,0.2629934792383674
P05067,whole,Whole,,0.6568621327688775
P11362,whole,Whole,,0.5761059603524897
Q8NC56,whole,Whole,,0.2959187403682568
P40967,whole,Whole,,0.13794623799793704
P07766,whole,Whole,,0.16363899259493747
P20963,whole,Whole,,0.29321328735865115
P04626,whole,Whole,,0.3586220451885553
O75460,whole,Whole,,0.6364096021451136
P35968,whole,Whole,,0.7324977102651713
Q12879,whole,Whole,,0.49275218715096536
Q86WV6,whole,Whole,,0.1170671807571621
P07949,whole,Whole,,0.2750428051588404
P08908,whole,Whole,,0.41883723157678965
P01857,whole,Whole,,0.18401930509187858
Q7Z3C6,whole,Whole,,0.1041170472185167
O75581,whole,Whole,,0.318821856165972
P63027,whole,Whole,,0.48657266582936143
O60733,whole,Whole,,0.5165252052732439
Q04671,whole,Whole,,0.12460423650439864
Q14BN4,whole,Whole,,0.6440511385289385
P15529,whole,Whole,,0.27965850946780046
Q8TEM1,whole,Whole,,0.4604277506735684
Q9UJA2,whole,Whole,,0.18742794976047714
P00533,whole,Whole,,0.7245431454596394
P21802,whole,Whole,,0.668081936662227
P08247,whole,Whole,,0.19956089430053556
Q14739,whole,Whole,,0.4798892909996897
P29317,whole,Whole,,0.5450533357161069
P17948,whole,Whole,,0.8148531393913825
P05556,whole,Whole,,0.7334847807455908
P10747,whole,Whole,,0.08195944951802454
Q16635,whole,Whole,,0.2610684027899729
P61073,whole,Whole,,0.10734867463668948
Q15303,whole,Whole,,0.6581179570974862
O00254,whole,Whole,,0.023936485358185815
Q9H3U5,whole,Whole,,0.10113808352531477
Q9Y624,whole,Whole,,0.19057373097186894
P31645,whole,Whole,,0.1671593188885379
P49146,whole,Whole,,0.12824866166462623
P15954,whole,Whole,,0.19962591389181084
P13569,whole,Whole,,0.43331495469159154
Q9BRQ8,whole,Whole,,0.6718848683171814
Q03135,whole,Whole,,0.3682902426289949
Q13021,whole,Whole,,0.14594963146769047
