UniProt_ID,approach,region,seg_idx,score
O00254,whole_db,Whole,,0.0067556067
O14763,whole_db,Whole,,0.005453388
O43561,whole_db,Whole,,0.8835028
O60500,whole_db,Whole,,0.19236472
O60733,whole_db,Whole,,0.095477454
O75445,whole_db,Whole,,0.1819633
O75460,whole_db,Whole,,0.13928577
O75581,whole_db,Whole,,0.56313956
P00533,whole_db,Whole,,0.9948772
P01857,whole_db,Whole,,0.37336266
P04626,whole_db,Whole,,0.97369987
P05067,whole_db,Whole,,0.8443614
P05556,whole_db,Whole,,0.3943021
P07766,whole_db,Whole,,0.061977915
P07949,whole_db,Whole,,0.91190875
P08172,whole_db,Whole,,0.05264176
P08247,whole_db,Whole,,0.09619441
P08908,whole_db,Whole,,0.8727934
P10747,whole_db,Whole,,0.08280896
P11362,whole_db,Whole,,0.47035217
P13569,whole_db,Whole,,0.021911938
P15529,whole_db,Whole,,0.0045261797
P15941,whole_db,Whole,,0.14811698
P15954,whole_db,Whole,,0.49630556
P17948,whole_db,Whole,,0.9283825
P20963,whole_db,Whole,,0.7059225
P21802,whole_db,Whole,,0.9132317
P31431,whole_db,Whole,,0.02247028
P31645,whole_db,Whole,,0.011828845
P35968,whole_db,Whole,,0.8592192
P40967,whole_db,Whole,,0.89362746
P46531,whole_db,Whole,,0.03198308
P49146,whole_db,Whole,,0.0028923738
P29317,whole_db,Whole,,0.83137894
P61073,whole_db,Whole,,0.24888709
P63027,whole_db,Whole,,0.091656424
Q03135,whole_db,Whole,,0.9744093
Q04671,whole_db,Whole,,0.00041875648
Q07065,whole_db,Whole,,0.75943923
Q08345,whole_db,Whole,,0.092777506
Q12879,whole_db,Whole,,0.21759966
Q13021,whole_db,Whole,,0.036293495
Q14739,whole_db,Whole,,0.5698512
Q14BN4,whole_db,Whole,,0.58318293
Q15303,whole_db,Whole,,0.9430021
Q16635,whole_db,Whole,,0.009672598
Q7Z3C6,whole_db,Whole,,0.0078108557
Q7Z434,whole_db,Whole,,0.97495615
Q9UM73,whole_db,Whole,,0.72956294
Q9Y624,whole_db,Whole,,0.1137257
Q86WV6,whole_db,Whole,,0.7079318
Q8N114,whole_db,Whole,,0.0060578524
Q8NC56,whole_db,Whole,,0.9496786
Q8TEM1,whole_db,Whole,,0.08759173
Q8WXG9,whole_db,Whole,,0.022319196
Q9BR39,whole_db,Whole,,0.5504534
Q9BRQ8,whole_db,Whole,,0.102038205
Q9H3U5,whole_db,Whole,,0.01865598
Q9H461,whole_db,Whole,,0.0016049944
